# The 'inspect.txt' file is used to show all the details of each operation in NN model.
# Field Description:
# target info: target device information.
# inspection summary: summary report of inspection# graph name: The name of graph representing of the NN model.
# node name: The name of node in graph.
# input nodes: The parents of the node.
# output nodes: The children of node.
# op type: The type of operation.
# output shape: The shape of node output tensor(Data layout follows XIR requirements).
# op attributes: The attributes of operation.(The description is consistent with that of XIR)
# assigend device: The device type on which the operation execute.
# hardware constrains: If the operation is assigned to cpu. This filed will give some hits about why the DPU does not support this operation.
# node messages: This filed will give some extra information about the node.(For example, if quantizer need to insert a permute operation to convert data layout from 'NCHW' to 'NHWC' or from 'NCHW' to 'NHWC' for deployment. This message will be add to node_messages.)
# source range: points to a source which is a stack track and helps to find the exact location of this operation in source code.

# Hints:
# Due to data layout difference between Pytorch('NCHW') and XIR('NHWC'), 
# if quantizer inserts some permutes(which the node message will inform us about),
# these permutes may prevent the entire model from being deployed to the target device.
# Sometimes, we can cancel out this automatically inserted permute by inserting a permute in the original float model,
# sometimes, we can't.
# These two examples are used to demonstrated this problem:
# Example 1:
# Pytorch: conv:[1, 64, 1, 1] -> reshape(shape=(1, -1):[1, 64] =>
# Xmodel: conv:[1, 1, 1, 64] -> permute(order=(0, 3, 1, 2)):[1, 64, 1, 1] -> reshape(shape=(1, -1):[1, 64]
# Insert a permute in the original float model:
# Pytorch: conv:[1, 64, 1, 1] -> permute(order=(0, 2, 3, 1)):[1, 1, 1, 64] -> reshape(shape=(1, -1):[1, 64] =>
# Xmodel: conv:[1, 1, 1, 64] -> reshape(shape=(1, -1):[1, 64]
# In example 1, the permute inserted by quantizer can be canceled out by inserting a permute in float model. 
# After model modification, output shape and data memory layout are the same compared with before.
# Example 2:
# Pytorch: conv:[1, 3, 4, 4] -> reshape(shape=(1, -1):[1, 48] =>
# Xmodel: conv:[1, 4, 4, 3] -> permute(order=(0, 3, 1, 2)):[1, 3, 4, 4] -> reshape(shape=(1, -1):[1, 48]
# Insert a permute in the original float model:
# Pytorch: conv:[1, 3, 4, 4] -> permute(order=(0, 2, 3, 1)):[1, 4, 4, 3] -> reshape(shape=(1, -1):[1, 48] =>
# Xmodel: conv:[1, 4, 4, 3] -> reshape(shape=(1, -1):[1, 48]
# In example 2, the permute inserted by quantizer can't be canceled out by inserting a permute in float model. 
# After model modification, output data memory layout changed.
# Explanation of some hardware constraints messages:
  "Try to assign {pattern name} to DPU failed.": The compiler refuses to deploy this pattern on DPU.
  "Convert nndct graph to XIR failed.": If you encounter this problem, please contact the developer.
  "{op type} can't be converted to XIR.": The operator cannot be represented by XIR.
  "{op type} can't be assigned to DPU.": Although the operator can be converted to XIR, it cannot be deployed on the DPU.
  
================================================================================================================================================================
target info:
================================================================================================================================================================
0x101000056010407

================================================================================================================================================================
inspection summary:
================================================================================================================================================================
The operators assigned to the CPU are as follows:
node name                                                    op Type              hardware constraints
-----------------------------------------------------------  -------------------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
YOLOv3::24336                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24338                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24340                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24342                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24344                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24346                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24294                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24295                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24298                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24301                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24311                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24312                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24315                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24318                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24328                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24329                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24332                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::24335                                                nndct_const          All the children nodes are assigned to CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.439  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.441  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.443  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.445  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.447  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.449  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.451  nndct_concat         All input of concat are on CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.453  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.455  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_455_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.457  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_457_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.459  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.461  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_461_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.463  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_463_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.465  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.467  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.469  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_469_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.471  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.473  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.475  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_s__ret_475_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.477  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.479  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.481  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.483  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.485  nndct_concat         All input of concat are on CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.487  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_s]/ret.489  nndct_elemwise_mul   Try to assign nndct_elemwise_mul_Nbvsd6YpiLmlMVJ7 to DPU failed.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.513  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.515  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.517  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.519  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.521  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.523  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.525  nndct_concat         All input of concat are on CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.527  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.529  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_529_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.531  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_531_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.533  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.535  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_535_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.537  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_537_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.539  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.541  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.543  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_543_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.545  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.547  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.549  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_m__ret_549_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.551  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.553  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.555  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.557  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.559  nndct_concat         All input of concat are on CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.561  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_m]/ret.563  nndct_elemwise_mul   Try to assign nndct_elemwise_mul_e2bxAz5UZnMrgOIY to DPU failed.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.587  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.589  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.591  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.593  nndct_sigmoid        nndct_sigmoid can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.595  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.597  nndct_strided_slice  nndct_strided_slice can't be assigned to DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.599  nndct_concat         All input of concat are on CPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.601  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.603  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_603_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.605  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_605_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.607  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.609  nndct_elemwise_add   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_609_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.611  nndct_elemwise_div   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_611_new, type = eltwise-fix} has been assigned to CPU: [DPUCZDX8G_ISA1_B4096 does not support eltwise DIV].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.613  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.615  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.617  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_617_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.619  nndct_select         nndct_select can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.621  nndct_elemwise_exp   nndct_elemwise_exp can't be converted to XIR.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.623  nndct_elemwise_mul   xir::Op{name = YOLOv3__YOLOv3_YoloHead_head__DetectLayer_detect_l__ret_623_new, type = eltwise-fix} has been assigned to CPU: [DPU only supports positive "input_channel"(0)].
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.625  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.627  nndct_reshape        The input of reshape is not on DPU.
YOLOv3::YOLOv3/YoloHead[head]/DetectLayer[detect_l]/ret.629  nndct_reshape        The input of reshape is not on DPU.
